iter	RMSE
0	43257.04336
1	42430.78036
2	41668.71946
3	40827.83706
4	40051.71995
5	39179.6035
6	38322.9999
7	37602.11567
8	36908.47488
9	36231.01428
10	35629.94193
11	34966.42749
12	34314.51232
13	33603.97789
14	32885.46037
15	32269.96683
16	31712.55467
17	31165.10084
18	30659.25618
19	30196.29489
20	29736.07163
21	29267.71838
22	28855.62203
23	28399.38943
24	27956.36984
25	27506.22812
26	27117.04669
27	26766.20514
28	26359.72839
29	25975.62467
30	25614.14616
31	25249.80262
32	24949.515
33	24642.55562
34	24350.69759
35	24134.0253
36	23790.7645
37	23497.65821
38	23175.0748
39	22873.59585
40	22640.78351
41	22426.85294
42	22176.2812
43	21932.80645
44	21709.67635
45	21500.23736
46	21286.92639
47	21057.59662
48	20846.51416
49	20680.60234
50	20496.35027
51	20316.7704
52	20137.36937
53	19965.55266
54	19829.7058
55	19642.9339
56	19478.51896
57	19319.13976
58	19191.57903
59	19051.30097
60	18932.01425
61	18795.48931
62	18644.84997
63	18507.63616
64	18383.84826
65	18260.72358
66	18127.00571
67	17998.6738
68	17879.32903
69	17767.77906
70	17663.5579
71	17549.16366
72	17450.76079
73	17349.7945
74	17253.30258
75	17136.60465
76	17046.00461
77	16954.7549
78	16860.21903
79	16780.87331
80	16693.58299
81	16613.53839
82	16532.88295
83	16454.30068
84	16379.49914
85	16299.77261
86	16220.91615
87	16165.41651
88	16095.95213
89	16023.32771
90	15940.98574
91	15866.31146
92	15792.86921
93	15730.72901
94	15671.82167
95	15609.92347
96	15550.51854
97	15507.6324
98	15448.61513
99	15387.62471
100	15336.31394
101	15274.32593
102	15204.57046
103	15149.86972
104	15102.77455
105	15066.0374
106	15024.2206
107	14969.88592
108	14944.60793
109	14900.83489
110	14858.3194
111	14832.49022
112	14787.9268
113	14738.95409
114	14697.82442
115	14660.23799
116	14617.97481
117	14577.75446
118	14539.89032
119	14500.69306
120	14467.67983
121	14430.67404
122	14406.3653
123	14366.42064
124	14326.16609
125	14296.45125
126	14259.24269
127	14209.42073
128	14178.65887
129	14147.6732
130	14117.9885
131	14088.71401
132	14058.93735
133	14032.01599
134	14002.97585
135	13968.83054
136	13933.11206
137	13904.69431
138	13875.11848
139	13843.45284
140	13818.27521
141	13794.30861
142	13773.94399
143	13765.26649
144	13739.06724
145	13714.03933
146	13694.70536
147	13670.04352
148	13644.90712
149	13610.7903
150	13579.78626
151	13554.13814
152	13538.24144
153	13508.43888
154	13486.68717
155	13458.58404
156	13444.84727
157	13419.82259
158	13397.08688
159	13378.1309
160	13354.32696
161	13331.80887
162	13312.34252
163	13292.51984
164	13270.82321
165	13244.8481
166	13217.44217
167	13201.15156
168	13176.19881
169	13153.68629
170	13137.68629
171	13119.32012
172	13100.41371
173	13077.8501
174	13061.69363
175	13044.42332
176	13033.3294
177	13013.29166
178	12985.85738
179	12968.73126
180	12953.84523
181	12935.0723
182	12919.64201
183	12901.37102
184	12891.11114
185	12871.27388
186	12854.19521
187	12840.16944
188	12824.80064
189	12806.56405
190	12794.41475
191	12782.70959
192	12759.85594
193	12743.55188
194	12732.39791
195	12712.73061
196	12699.56292
197	12675.8351
198	12664.61016
199	12655.00959
200	12639.07678
201	12622.86394
202	12611.09274
203	12603.14606
204	12594.19495
205	12569.6369
206	12561.66016
207	12547.62517
208	12532.20751
209	12506.92526
210	12482.87669
211	12468.88553
212	12454.15667
213	12436.63086
214	12414.66544
215	12397.458
216	12382.34476
217	12368.11113
218	12355.87336
219	12339.95764
220	12322.21341
221	12309.22493
222	12299.10128
223	12289.58507
224	12270.77385
225	12260.44898
226	12251.22036
227	12239.61794
228	12226.54956
229	12213.49428
230	12198.4891
231	12189.82242
232	12182.15359
233	12166.90133
234	12153.16148
235	12144.39717
236	12133.06195
237	12124.27405
238	12113.69407
239	12102.15032
240	12091.37041
241	12075.22701
242	12057.1519
243	12049.13193
244	12035.32181
245	12021.611
246	12009.78047
247	11997.97812
248	11990.93511
249	11978.01419
250	11970.56053
251	11953.71415
252	11939.49938
