iter	Passed	Remaining
0	4	4270
1	1	33	16713
2	41	13	33	3	56	4	47	94	77	15329
5	96	15967
6	106	15115
7	118	14742
8	132	14576
9	148	14707
10	160	14444
11	169	13924
12	179	13661
13	183	12953114	194	1274216	187	10828
116	216	12491
17	221	12061
18	224	11597
19	233	11441
20	242	11313
21	255	11375
22	267	11374
23	271	11029
24	278	10863
25	287	10761
26	295	10649
27	302	10512
28	313	10487
29	325	10521
30	337	10558
31	341	10321
32	355	10419
33	365	10385
34	373	10286
35	390	10454
36	402	10483
37	408	10344
38	412	10153
39	425	10222
40	435	10195
41	452	10330
42	456	10154643	461	10047	461	9146
48	467	9078
49	471	8952
50	478	8908
51	496	9055
52	506	9042
53	517	9062
54	521	8963
55	525	8860
56	533	8824
57	541	8800
58	549	8765
59	557	8730
60	560	8627
61	564	8533
62	572	8510
63	578	8458
64	582	8381
65	589	8346
66	593	8261
67	604	8288
68	610	8234
69	618	8217
70	626	8198
71	638	8230
72	645	8199
73	652	8164
74	655	8086
75	662	8057
76	665	7982
77	686	8112
78	695	8103
79	701	8072
80	712	8086
81	723	8095
82	731	8078
83	734	8010
84	737	7938
85	747	7943
86	758	7962
87	762	7898
88	773	7919
89	779	7883
90	786	7852
91	790	7798
92	801	7821
93	808	7788
94	819	7805
95	826	7785
96	836	7782
97	849	7815
98	869	7912
99	881	7931
100	884	7871
101	899	7915
102	905	7885
103	909	7835
104	917	7818
105	924	7800
106	936	7812
107	944	7801
108	956	7815
109	979	7928
110	997	7988
111	1005	7974
112	1012	7949
113	1015	7891
114	1034	7963
115	1045	7963
116	1054	7954
117	1061	7933
118	1070	7927
119	1076	7893
120	1085	7887
121	1093	7867
122	1096	7819
123	1100	7775
124	1104	7730
125	1107	7683
126	1111	7637
127	1114	7592
128	1118	7551
129	1122	7510
130	1125	7467
131	1129	7425
132	1132	7382
133	1136	7343
134	1138	7297
135	1142	7259
136	1146	7219
137	1148	7176
138	1152	7138
139	1156	7101
140	1158	7059
141	1162	7024
142	1166	6988
143	1169	6952
144	1173	6916
145	1175	6875
146	1178	6841
147	1182	6807
148	1186	6774
149	1190	6747
150	1194	6713
151	1196	6677
152	1200	6644
153	1203	6612
154	1207	6582
155	1210	6551
156	1214	6520
157	1218	6491
158	1221	6461
159	1225	6432
160	1228	6404
161	1232	6374
162	1234	6340
163	1237	6308
164	1241	6281
165	1245	6255
166	1248	6229
167	1252	6202
168	1256	6178
169	1260	6152
170	1263	6126
171	1267	6101
172	1271	6077
173	1275	6052
174	1279	6030
175	1282	6004
176	1286	5983
177	1290	5960
178	1294	5938
179	1298	5915
180	1301	5887
181	1304	5863
182	1308	5840
183	1311	58171184	1315	57951185	1319	57731186	1322	5750185	1336	5850
186	1341	5832
187	1347	5822
188	1354	5812
189	1359	5796
190	1363	5776
191	1368	5758
192	1372	5739
193	1376	5720
194	1381	5702
195	1385	5684
196	1391	5670
197	1395	5652
198	1400	5635
199	1404	5617
200	1407	5596
201	1410	5573
202	1415	5555
203	1418	5534
204	1422	5515
205	1425	5495
206	1430	5478
207	1434	5461
208	1438	5444
209	1443	5430
210	1447	5413
211	1451	5396
212	1455	5378
213	1461	5368
214	1469	5364
215	1474	5353
216	1479	5336
217	1483	5321
218	1488	5306
219	1492	5291
220	1496	5276
221	1502	5264
222	1506	5249
223	1510	5231
224	1514	5217
225	1519	5202
226	1523	5187
227	1527	5172
228	1532	5158
229	1536	5143
230	1540	5126
231	1544	5111
232	1548	5096
233	1552	5082
234	1556	5066
235	1560	5051
236	1563	5034
237	1567	5019
238	1571	5003
239	1575	4988
240	1579	4972
241	1583	4960
242	1587	4945
243	1591	4932
244	1594	4913
245	1598	4900
246	1602	4885
247	1605	4866
248	1608	4851
249	1612	4837
250	1616	4822
251	1619	4808
252	1623	4793
253	1627	4779
254	1631	4765
255	1635	4751
256	1639	4739
257	1643	4726
258	1647	4712
259	1651	4699
260	1654	4685
261	1658	4672
262	1662	4659
263	1666	4645
264	1670	4632
265	1673	4618
266	1677	4604
267	1680	4591
268	1684	4576
269	1688	4564
270	1691	4550
271	1694	4535
272	1698	4522
273	1701	4508
274	1705	4495
275	1708	4482
276	1712	4468
277	1716	4457
278	1719	4444
279	1724	4435
280	1728	4423
281	1731	4409
282	1736	4398
283	1740	4387
284	1744	4376
285	1747	4363
286	1751	4350
287	1754	4337
288	1758	4325
289	1761	4313
290	1765	4301
291	1768	4288
