iter	Passed	Remaining
0	14	14743
1	19	9822
2	27	9168
3	40	10009
4	50	10086
5	69	11561
6	89	12630
7	101	12575
8	114	12629
9	130	12967
10	147	13283
11	172	14241
12	185	14088
13	197	13904
14	218	14354
15	238	14697
16	268	15527
17	291	15889
18	307	15888
19	330	16192
20	354	16526
21	373	16596
22	389	16543
23	408	16628
24	424	16557
25	433	16223
26	443	15991
27	453	15744
28	468	15688
29	480	15535
30	493	15426
31	510	15438
32	525	15413
33	547	15546
34	574	15852
35	595	15952
36	607	15804
37	624	15814
38	635	15658
39	646	15504
40	660	15442
41	681	15543
42	692	15413
43	721	15672
44	735	15617
45	758	15738
46	771	15643
47	789	15663
48	804	15620
49	818	15547
50	828	15419
51	855	15604
52	869	15535
53	883	15477
54	901	15483
55	916	15450
56	932	15433
57	954	15496
58	984	15695
59	1006	15762
60	1021	15729
61	1039	15727
62	1054	15677
63	1065	15580
64	1073	15441
65	1083	15336
66	1093	15224
67	1097	15037
68	1110	14977
69	1120	14893
70	1130	14795
71	1141	14710
72	1160	14734
73	1173	14686
74	1182	14578
75	1191	14481
76	1201	14407
77	1215	14364
78	1224	14270
79	1234	14193
80	1250	14189
81	1272	14247
82	1285	14203
83	1313	14328
84	1339	14415
85	1357	14426
86	1376	14442
87	1394	14451
88	1406	14400
89	1422	14379
90	1430	14286
91	1441	14224
92	1457	14217
93	1468	14155
94	1479	14095
95	1496	14092
96	1514	14100
97	1526	14053
98	1542	14042
99	1555	14001
100	1570	13977
101	1579	13909
102	1585	13810
103	1597	13759
104	1610	13731
105	1624	13697
106	1637	13669
107	1650	13632
108	1668	13637
109	1683	13620
110	1692	13557
111	1707	13536
112	1720	13506
113	1729	13438
114	1742	13410
115	1757	13396
116	1774	13393
117	1796	13424
118	1817	13455
119	1833	13444
120	1851	13448
121	1861	13398
122	1879	13402
123	1893	13373
124	1902	13317
125	1916	13293
126	1927	13251
127	1946	13257
128	1959	13227
129	1981	13258
130	2000	13273
131	2011	13227
132	2028	13226
133	2043	13208
134	2056	13179
135	2076	13192
136	2093	13185
137	2102	13135
138	2111	13076
139	2128	13075
140	2139	13036
141	2154	13015
142	2164	12973
143	2173	12917
144	2183	12872
145	2194	12836
146	2201	12776
147	2217	12767
148	2233	12754
149	2245	12726
150	2259	12705
151	2270	12666
152	2279	12618
153	2290	12584
154	2303	12557
155	2316	12533
156	2328	12503
157	2335	12448
158	2346	12408
159	2357	12379
160	2370	12353
161	2385	12338
162	2398	12314
163	2417	12324
164	2430	12302
165	2447	12296
166	2461	12278
167	2475	12261
168	2489	12240
169	2500	12207
170	2512	12179
171	2522	12140
172	2535	12120
173	2549	12100
174	2562	12078
175	2574	12052
176	2587	12030
177	2599	12004
178	2619	12015
179	2631	11986
180	2640	11949
181	2658	11947
182	2666	11906
183	2683	11899
184	2693	11866
185	2704	11837
186	2717	11816
187	2733	11806
188	2742	11768
189	2755	11747
190	2764	11710
191	2777	11690
192	2793	11681
193	2805	11655
194	2821	11648
195	2836	11633
196	2848	11612
197	2875	11647
198	2889	11628
199	2903	11614
200	2921	11612
201	2936	11602
202	2944	11560
203	2959	11549
204	2973	11529
205	2985	11507
206	2993	11469
207	3010	11462
208	3024	11447
209	3039	11433
210	3049	11402
211	3061	11379
212	3070	11345
213	3082	11322
214	3098	11312
215	3112	11295
216	3126	11281
217	3139	11261
218	3163	11280
219	3179	11273
220	3198	11274
221	3209	11249
222	3235	11274
223	3249	11258
224	3262	11238
225	3275	11218
226	3298	11233
227	3311	11211
228	3328	11207
229	3351	11221
230	3372	11228
231	3389	11218
232	3412	11233
233	3435	11245
234	3453	11242
235	3471	11238
236	3495	11253
237	3511	11242
238	3522	11214
239	3537	11203
240	3557	11204
241	3576	11201
242	3594	11196
243	3607	11177
244	3624	11167
245	3636	11146
246	3654	11139
247	3669	11125
248	3688	11123
249	3705	11115
250	3722	11107
251	3729	11070
252	3740	11045
253	3759	11042
254	3772	11022
255	3783	10996
256	3802	10993
257	3814	10969
258	3861	11046
259	3900	11102
260	3916	11089
261	3939	11095
262	3951	11073
263	3964	11053
264	3972	11018
265	3990	11010
266	4005	10997
267	4026	10996
268	4061	11036
269	4088	11053
270	4235	11394
271	4254	11387
272	4270	11372
273	4313	11429
274	4352	11473
275	4378	11485
276	4395	11473
277	4403	11435
278	4410	11397
279	4420	11366
280	4426	11325
281	4435	11294
282	4448	11269
283	4453	11227
284	4458	11186
285	4463	11144
286	4468	11101
287	4474	11061
288	4479	11020
289	4484	10979
290	4490	10940
291	4496	10903
292	4501	10862
293	4506	10822
294	4511	10782
295	4516	10741
296	4522	10704
297	4527	10664
298	4532	10625
299	4537	10587
300	4542	10549
301	4548	10511
302	4552	10473
303	4557	10434
304	4562	10396
305	4568	10360
306	4573	10323
307	4577	10285
308	4583	10249
309	4588	10213
310	4593	10176
311	4598	10140
312	4603	10104
313	4611	10074
314	4618	10043
315	4623	10008
316	4629	9973
317	4635	9941
318	4640	9907
319	4645	9871
320	4650	9836
321	4654	9800
322	4660	9768
323	4665	9733
324	4669	9699
325	4672	9659
326	4678	9629
327	4684	9597
328	4689	9565
329	4695	9533
330	4701	9501
331	4705	9468
332	4710	9434
333	4715	9401
334	4720	9370
335	4725	9338
336	4729	9305
337	4735	9273
338	4741	9245
339	4748	9218
340	4753	9187
341	4758	9156
342	4763	9124
343	4768	9093
344	4776	9069
345	4782	9039
346	4789	9012
347	4794	8982
348	4803	8960
349	4835	8980
350	4845	8960
351	4884	8992
352	4890	8964
353	4900	8943
354	4934	8965
355	4942	8940
356	4947	8911
357	4953	8883
358	4962	8861
359	4973	8841
360	4978	8812
361	4984	8784
362	4989	8756
363	4995	8729
364	5001	8700
365	5005	8671
366	5010	8642
367	5016	8614
368	5021	8587
369	5026	8559
370	5032	8532
371	5037	8503
372	5042	8475
373	5047	8447
374	5051	8419
375	5057	8392
376	5062	8365
377	5068	8339
378	5072	8311
379	5077	8284
380	5083	8259
381	5089	8233
382	5097	8211
383	5103	8186
