iter	Logloss
0	0.6802686817
1	0.6666900856
2	0.6531593641
3	0.6400081152
4	0.6290863803
5	0.6158008635
6	0.6022618771
7	0.5879745639
8	0.5770619883
9	0.5662693553
10	0.5545836797
11	0.5455791933
12	0.5349083181
13	0.5244069819
14	0.5179960298
15	0.5091790442
16	0.5001194478
17	0.4888743143
18	0.4818719532
19	0.4719948238
20	0.4641004253
21	0.4549950539
22	0.4451040694
23	0.4361383577
24	0.428306705
25	0.4235639588
26	0.4170651764
27	0.4091638624
28	0.402984899
29	0.3948645753
30	0.3894387533
31	0.3833123899
32	0.3761221899
33	0.3693071919
34	0.36177772
35	0.3563773134
36	0.3501307733
37	0.3437181414
38	0.3391183701
39	0.332212673
40	0.3266529329
41	0.3217306148
42	0.3167454538
43	0.3111447094
44	0.3068390592
45	0.3011777702
46	0.2952351182
47	0.2911633453
48	0.2865175833
49	0.2820934598
50	0.2775896029
51	0.2728707202
52	0.2690825987
53	0.2651119826
54	0.2601742653
55	0.2556745634
56	0.2521155076
57	0.2474506483
58	0.2434714121
59	0.238903034
60	0.235828597
61	0.2317865808
62	0.2282883711
63	0.225028259
64	0.2211483504
65	0.2190371169
66	0.21572626
67	0.2123115879
68	0.208871902
69	0.2056355453
70	0.2028594438
71	0.1997087833
72	0.1963754689
73	0.1927609847
74	0.1897137127
75	0.1873666018
76	0.1849645604
77	0.1817919538
78	0.1786845209
79	0.1760927884
80	0.1738424899
81	0.1708751004
82	0.1684315235
83	0.1663951209
84	0.1648885808
85	0.1620968813
86	0.1601814699
87	0.1576188863
88	0.1557901202
89	0.1535616357
90	0.1515419328
91	0.149500061
92	0.1474037329
93	0.1454515635
94	0.1440968442
95	0.1426488086
96	0.1409342105
97	0.1390920715
98	0.1382837971
99	0.1366505233
100	0.1347936736
101	0.1322434187
102	0.130436528
103	0.1285984203
104	0.127432833
105	0.1256153502
106	0.124130242
107	0.1229598574
108	0.1213208555
109	0.1194548943
110	0.1183401894
111	0.1168142673
112	0.1149016809
113	0.1135604626
114	0.1125370003
115	0.1114130575
116	0.1100371679
117	0.1086191582
118	0.1074891394
119	0.1058796792
120	0.1047634341
121	0.1038465667
122	0.103012911
123	0.1016805638
124	0.101009439
125	0.09968238726
126	0.09893275525
127	0.09818367404
128	0.09707827596
129	0.09613276926
130	0.09505890474
131	0.09413524787
132	0.09310580551
133	0.09229608697
134	0.09172521922
135	0.09065860914
136	0.08966649159
137	0.08872123676
138	0.08805595445
139	0.08674901976
140	0.08581144389
141	0.08515974727
142	0.08424147599
143	0.08384097548
144	0.08337462339
145	0.08276740405
146	0.08221175014
147	0.08136680554
148	0.08100622035
149	0.08043301991
150	0.07956332179
151	0.07884589665
152	0.07782397066
153	0.07705956824
154	0.0764446408
155	0.07566001499
156	0.07533052649
157	0.07479957088
158	0.07416852778
159	0.07343803097
160	0.07284183659
161	0.07214587433
162	0.07120388308
163	0.07060649974
164	0.06967186276
165	0.0689252448
166	0.06836521722
167	0.06775938032
168	0.06734929527
169	0.06677526289
170	0.06613516076
171	0.06570682349
172	0.06519148169
173	0.06446718027
174	0.06396341677
175	0.06365901011
176	0.06303234192
177	0.06262706604
178	0.06210943112
179	0.06166213355
180	0.0611375882
181	0.06075362517
182	0.06059501014
183	0.06002414478
184	0.05951781228
185	0.05896469721
186	0.05871864887
187	0.05813081618
188	0.05787795099
189	0.05754629656
190	0.05684913147
191	0.05645932379
192	0.05608250339
193	0.05576658151
194	0.05558874769
195	0.05511193121
196	0.05459167334
197	0.05416136171
198	0.05376865994
199	0.05331686682
200	0.05307377744
201	0.05290469832
202	0.05274847107
203	0.05250248521
204	0.05207786295
205	0.0517550336
206	0.05114539471
207	0.05075887972
208	0.05042404972
209	0.050269581
210	0.0500819304
211	0.04981650131
212	0.04944580135
213	0.04915340197
214	0.04876390098
215	0.04863232596
216	0.04845422604
217	0.04801771318
218	0.04768778672
219	0.04734972389
220	0.04714030727
221	0.04675582756
222	0.04642521692
223	0.04607614419
224	0.04579546976
225	0.04524358693
226	0.04509393318
227	0.04471624436
228	0.04456242316
229	0.04427881096
230	0.04401012778
231	0.04377255631
232	0.04363949022
233	0.0435047495
234	0.0432631823
235	0.04303453997
236	0.04283945347
237	0.04258814825
238	0.04249008477
239	0.04234685573
240	0.04216535535
241	0.04195693548
242	0.0415946642
243	0.04133929939
244	0.04107049147
245	0.04084473886
246	0.04055759854
247	0.04025752626
248	0.03997858864
249	0.03968025476
250	0.0395322426
251	0.03940159408
252	0.03915565909
253	0.03891893357
254	0.03879794639
255	0.03854689417
256	0.03832612643
257	0.03815750601
258	0.03783546901
259	0.03771310843
260	0.03754024844
261	0.03729847616
262	0.03700034736
263	0.03686022926
264	0.03666094523
265	0.03638633885
266	0.03628006437
267	0.03605502406
268	0.03569003315
269	0.03552241969
270	0.03520542829
271	0.03492990215
272	0.03473924681
273	0.03464439738
274	0.03450909146
275	0.03444027995
276	0.03415338782
277	0.0339916881
278	0.03389806762
279	0.03380655905
280	0.03364488497
281	0.03351071559
282	0.03340559784
283	0.03320684116
284	0.03305478574
285	0.03289762384
286	0.03279401041
287	0.0325975491
288	0.03252364747
289	0.03235018675
290	0.03217473234
291	0.03202362282
292	0.03179189311
293	0.0316837517
294	0.03154924786
295	0.03144003241
296	0.03130372097
297	0.03108779214
298	0.03092627275
299	0.0307973407
300	0.03060774046
301	0.03042143481
302	0.03017709756
303	0.03009411126
304	0.02996553099
305	0.02979629272
306	0.02970167689
307	0.02953481011
308	0.02947035425
309	0.02921255038
310	0.02896458508
311	0.02882719178
312	0.02857388612
313	0.02850655281
314	0.02840983111
315	0.02828807047
316	0.02815104995
317	0.02807014826
318	0.02788892
319	0.02784223448
320	0.02777199911
321	0.02766756788
322	0.02754803078
323	0.02742322137
324	0.02727660259
325	0.02707921089
326	0.02696092205
327	0.02679898122
328	0.02666928763
329	0.02648767117
330	0.02640929805
331	0.02627602373
332	0.0261875168
333	0.02604769161
334	0.0259633827
335	0.02583707879
336	0.02577000676
337	0.0257160761
338	0.02562957311
339	0.02548139169
340	0.02542409212
341	0.02526823987
342	0.025077062
343	0.02491090279
344	0.02484242937
345	0.02479420971
346	0.02471686252
347	0.02463616783
348	0.02452314921
349	0.0244182099
350	0.02433720373
351	0.02427470334
352	0.02417059682
353	0.02405869201
354	0.02395794457
355	0.02379328071
356	0.0237492362
357	0.02371142657
358	0.02363038325
359	0.02350598644
360	0.02344415454
361	0.02337773692
362	0.02331931793
363	0.02322761984
364	0.02307133221
365	0.02294928041
366	0.02287056556
367	0.02280915154
368	0.02272368409
369	0.02265217603
370	0.02260604916
371	0.02245200339
372	0.02234385358
373	0.02227595948
374	0.02222697429
375	0.02219088987
376	0.02211889159
377	0.02205132418
378	0.02198635885
379	0.02193019395
380	0.0218332912
381	0.02173096268
382	0.02169148345
383	0.02160682414
384	0.02150994645
385	0.0214617368
386	0.02140860854
387	0.02136497963
388	0.02131583446
389	0.02125864524
390	0.02116013682
391	0.02112204368
392	0.02104875395
393	0.02100116258
394	0.02093661885
395	0.02088938909
396	0.02084714624
397	0.02066621776
398	0.02058685752
399	0.02051849052
400	0.02043719322
401	0.02039928083
402	0.02030884478
403	0.0202476412
404	0.02019985996
405	0.02014347315
406	0.02007168655
407	0.0199839444
408	0.01994474407
409	0.0198519853
410	0.01980511264
411	0.01975719462
412	0.01971931205
413	0.01966379962
414	0.01961177368
415	0.01953378817
416	0.01948609322
417	0.01942906845
418	0.01938589946
419	0.01934285076
420	0.01929930406
421	0.01926715506
422	0.01922155369
423	0.01914309644
424	0.01911648425
425	0.01901613127
426	0.01894351237
427	0.01890414142
428	0.01886040631
429	0.01882300683
430	0.01878493428
431	0.01873043634
432	0.01868297248
433	0.01864616128
434	0.01861331889
435	0.01857393719
436	0.01847968825
437	0.01845113968
438	0.018413669
439	0.018371839
440	0.01833761548
441	0.0182829318
442	0.01823624168
443	0.01820385866
444	0.0181768635
445	0.01804350481
446	0.0179677022
447	0.01793757979
448	0.01790524568
449	0.01785540871
450	0.01781830414
451	0.01777863992
452	0.01766923775
453	0.01764294086
454	0.01760065735
455	0.01756053506
456	0.01753317758
457	0.0174794844
458	0.01743354868
459	0.01739218164
460	0.01734811834
461	0.01728610725
462	0.01723898489
463	0.0172025992
464	0.01714410585
465	0.01710743617
466	0.01707281623
467	0.01698293656
468	0.01691791565
469	0.01686414785
470	0.01681073794
471	0.01678157603
472	0.01673425507
473	0.0166991664
474	0.01664620465
475	0.01661086245
476	0.01653043557
477	0.01650576591
478	0.01648067458
479	0.0164287396
480	0.01639421097
481	0.01628251664
482	0.01625661344
483	0.01616915598
484	0.0161368654
485	0.01608084617
486	0.01602465969
487	0.01600413994
488	0.01595305801
489	0.01587816424
490	0.01584146689
491	0.01580132845
492	0.01576979327
493	0.01573532806
494	0.01568905363
495	0.01562603007
496	0.01559693535
497	0.01556157221
498	0.01553209724
499	0.01549705565
500	0.01547480034
501	0.01544397176
502	0.01540153729
503	0.01528442611
504	0.0152539561
505	0.0151856333
506	0.01516604826
507	0.01513833714
508	0.015112769
509	0.01508745825
510	0.01505303865
511	0.01502965375
512	0.01495371694
513	0.01488175869
514	0.01479039982
515	0.01475059997
516	0.0147290998
517	0.01467148681
518	0.01465418047
519	0.01460569373
520	0.01457902256
521	0.01454888174
522	0.01450944672
523	0.01448346734
524	0.01443155649
525	0.01435555944
526	0.01430773903
527	0.01425525997
528	0.01420790981
529	0.01417950186
530	0.0141117116
531	0.01409766529
532	0.01404901729
533	0.0139925866
534	0.01392975589
535	0.01389884606
536	0.01386005873
537	0.0138025646
538	0.01377008128
539	0.01374916634
540	0.0137094205
541	0.01364393038
542	0.01360866125
543	0.01356886055
544	0.01353456595
545	0.01351741854
546	0.01348204998
547	0.0133996204
548	0.01337156531
549	0.01335595251
550	0.01332398817
551	0.01327311279
552	0.01325065214
553	0.01322301026
554	0.0132026524
555	0.01317648073
556	0.01316254235
557	0.01313919348
558	0.01309990295
559	0.01307808362
560	0.01305745597
561	0.01301671605
562	0.01299193457
563	0.01295236916
564	0.01290438051
565	0.01284571099
566	0.01282984892
567	0.01279750028
568	0.01272990152
569	0.01269796099
570	0.01266104122
571	0.01263771392
572	0.01261739683
573	0.01257875994
574	0.0125007545
575	0.01248686977
576	0.01244592601
577	0.01242529984
578	0.01239188637
579	0.01235360293
580	0.01230989033
581	0.01226919067
582	0.01218883964
583	0.01216956945
584	0.01213731498
585	0.01209662956
586	0.0120599063
587	0.01203887492
588	0.01199734239
589	0.01195974668
590	0.01193022035
591	0.01188571697
592	0.01185608925
593	0.01182745491
594	0.01178839536
595	0.01177247143
596	0.01174478036
597	0.01170291272
598	0.01167479978
599	0.01165733212
600	0.01163922542
601	0.0116062063
602	0.01157348226
603	0.01156083415
604	0.01154053357
605	0.01152270392
606	0.01149384841
607	0.01146484533
608	0.01142231728
609	0.01137725612
610	0.01133956857
611	0.0113177785
612	0.01129883493
613	0.01127625455
614	0.01126061442
615	0.01123725246
616	0.01121528975
617	0.01118309854
618	0.01114762179
619	0.01110377294
620	0.0110900968
621	0.01107932491
622	0.01105536832
623	0.01102764526
624	0.01100898926
625	0.01099509683
626	0.01097926555
627	0.01095875912
628	0.0109136508
629	0.01084866531
630	0.01082983713
631	0.01081311117
632	0.01078397388
633	0.01076480222
634	0.01075213539
635	0.01073394643
636	0.01071579124
637	0.01066243909
638	0.01064093784
639	0.01059269733
640	0.01057606701
641	0.01054587407
642	0.01052096142
643	0.01047084168
644	0.01044891094
645	0.0104285619
646	0.01039352283
647	0.01038207021
648	0.01036223509
649	0.01031327185
650	0.01028436339
651	0.01024045279
652	0.01020293975
653	0.01018418194
654	0.01016641606
655	0.01013779647
656	0.01010175116
657	0.01004697734
658	0.0100290988
659	0.009991483105
660	0.009975193385
661	0.009961123249
662	0.009920604233
663	0.009871092217
664	0.009849747602
665	0.009828496644
666	0.00981430055
667	0.009801594612
668	0.009751219027
669	0.009726624153
670	0.009708275008
671	0.00969561495
672	0.009673747456
673	0.009658449697
674	0.009647964287
675	0.009634449567
676	0.009614140378
677	0.009602566845
678	0.009576562987
679	0.009562578518
680	0.009550366989
681	0.009531875342
682	0.009498930902
683	0.009446303408
684	0.00941586248
685	0.009404531391
686	0.00938955146
687	0.009374174348
688	0.009353313043
689	0.00932242443
690	0.00930441629
691	0.009273815572
692	0.009258304999
693	0.009229681479
694	0.009200524213
695	0.009170587381
696	0.009152830166
697	0.009132992876
698	0.00911069051
699	0.00909934155
700	0.009077985448
701	0.009055643718
702	0.009025410614
703	0.009008358998
704	0.008997478351
705	0.008948908058
706	0.008933902013
707	0.008919637475
708	0.008903211657
709	0.00888396288
710	0.008869773716
711	0.008856745771
712	0.008843745623
713	0.008828370383
714	0.008812360472
715	0.008790327707
716	0.008774514665
717	0.008753731839
718	0.008740675151
719	0.008728968404
720	0.008703833014
721	0.008686512253
722	0.00867250493
723	0.008659817307
724	0.008643725276
725	0.008609559834
726	0.008568677613
727	0.0085312476
728	0.008489219846
729	0.008469953966
730	0.008436827263
731	0.008416892078
732	0.008380174392
733	0.008372539962
734	0.00835983602
735	0.008339529455
736	0.008302195725
737	0.008261616476
738	0.008232629009
739	0.008196873053
740	0.008186218668
741	0.008164770411
742	0.008142968384
743	0.008129379227
744	0.008089174703
745	0.008078183712
746	0.00806172405
747	0.008046064595
748	0.008034152066
749	0.008018114702
750	0.00798210869
751	0.007968038882
752	0.007956443926
753	0.007921160507
754	0.007890756841
755	0.007881448371
756	0.007854044177
757	0.007827882294
758	0.007801381881
759	0.007789857018
760	0.007777649451
761	0.007756921661
762	0.007738414368
763	0.007721183548
764	0.007698294299
765	0.007674452588
766	0.007644887678
767	0.007632607926
768	0.007622912385
769	0.007607154169
770	0.007571550213
771	0.007556620494
772	0.007542668229
773	0.007513026514
774	0.00748328193
775	0.00744840952
776	0.007424660816
777	0.007406495575
778	0.007385485399
779	0.007375889559
780	0.007358267656
781	0.007332481772
782	0.007323518821
783	0.007298831408
784	0.007272087407
785	0.007250745595
786	0.007244290202
787	0.007226709641
788	0.007201109193
789	0.007193842939
790	0.007161716471
791	0.007153328129
792	0.007145336072
793	0.007113475967
794	0.00710280164
795	0.007084301215
796	0.007074289124
