iter	Passed	Remaining
0	18	18327
1	29	14553
2	36	12294
3	49	12261
4	58	11651
5	75	12458
6	84	12017
7	96	11952
8	104	11547
9	114	11356
10	125	11262
11	138	11427
12	149	11380
13	165	11649
14	177	11647
15	184	11328
16	193	11196
17	206	11277
18	216	11199
19	222	10909
20	229	10676
21	237	10574
22	247	10515
23	253	10322
24	261	10203
25	270	10116
26	277	10007
27	287	9982
28	296	9926
29	308	9984
30	317	9929
31	324	9823
32	334	9814
33	346	9841
34	354	9776
35	363	9730
36	380	9911
37	392	9949
38	399	9843
39	406	9756
40	415	9726
41	425	9709
42	433	9657
43	438	9531
44	455	9669
45	460	9541
46	464	9425
47	477	9469
48	486	9437
49	494	9399
50	506	9424
51	522	9532
52	533	9528
53	549	9624
54	559	9614
55	571	9639
56	582	9630
57	594	9649
58	615	9824
59	627	9833
60	635	9775
61	644	9755
62	649	9660
63	655	9584
64	663	9547
65	670	9493
66	678	9449
67	683	9372
68	696	9403
69	702	9334
70	713	9341
71	721	9303
72	727	9231
73	731	9156
74	742	9153
75	746	9077
76	760	9113
77	768	9081
78	773	9016
79	780	8979
80	787	8930
81	799	8949
82	808	8934
83	818	8930
84	823	8866
85	829	8810
86	843	8851
87	850	8815
88	859	8801
89	874	8837
90	881	8801
91	890	8786
92	904	8825
93	912	8797
94	921	8773
95	930	8763
96	938	8737
97	942	8675
98	947	8621
99	957	8614
100	972	8655
101	983	8662
102	996	8678
103	1004	8650
104	1017	8674
105	1027	8666
106	1034	8636
107	1042	8612
108	1052	8605
109	1058	8564
110	1062	8513
111	1069	8482
112	1075	8443
113	1085	8437
114	1095	8433
115	1103	8412
116	1115	8416
117	1121	8381
118	1131	8378
119	1149	8428
120	1154	8383
121	1162	8368
122	1174	8371
123	1178	8326
124	1190	8335
125	1197	8307
126	1205	8289
127	1215	8278
128	1222	8252
129	1231	8241
130	1239	8225
131	1246	8199
132	1252	8163
133	1257	8129
134	1269	8133
135	1273	8092
136	1281	8074
137	1290	8060
138	1300	8057
139	1312	8060
140	1321	8048
141	1329	8033
142	1337	8015
143	1347	8007
144	1363	8040
145	1374	8041
146	1383	8027
147	1398	8048
148	1411	8061
149	1420	8049
150	1427	8026
151	1435	8006
152	1447	8012
153	1454	7988
154	1459	7958
155	1465	7929
156	1471	7901
157	1480	7889
158	1488	7871
159	1496	7857
160	1503	7837
161	1509	7805
162	1516	7786
163	1524	7771
164	1532	7757
165	1544	7759
166	1555	7757
167	1563	7744
168	1574	7739
169	1577	7704
